Trade_Date,classification,Account,Daily_PnL,Avg_Trade_Size,Trades_Per_Day,Win_Rate,Long_Trades,Short_Trades,Trading_Bias,Long_Short_Ratio_Fixed
28-03-2023,Greed,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0,159,3,0,3,0,Only_Long,0
14-11-2023,Greed,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0,23066.935,2,0,2,0,Only_Long,0
14-11-2023,Greed,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,155.503357,11034.79951,1043,27.51677852,489,554,Short_Biased,0.88267148
09-03-2024,Extreme Greed,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-5564.01614,3048.594444,27,33.33333333,4,23,Short_Biased,0.173913043
09-03-2024,Extreme Greed,0x430f09841d65beb3f27765503d0f850b8bce7713,0,1136.312727,88,0,88,0,Only_Long,0
09-03-2024,Extreme Greed,0x4f93fead39b70a1824f981a54d4e55b278e9f760,-7919.471032,6219.798493,730,30.68493151,357,373,Short_Biased,0.957104558
09-03-2024,Extreme Greed,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,187842.0842,3677.809106,3041,82.40710293,1409,1632,Short_Biased,0.863357843
09-03-2024,Extreme Greed,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2606.894756,7639.724412,3076,21.87906372,1513,1563,Short_Biased,0.968010237
03-07-2024,Neutral,0x271b280974205ca63b716753467d5a371de622ab,-1,6070.2,5,0,2,3,Short_Biased,0.666666667
03-07-2024,Neutral,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,215.754798,767.24775,80,10,35,45,Short_Biased,0.777777778
03-07-2024,Neutral,0x430f09841d65beb3f27765503d0f850b8bce7713,145563.4484,1759.953494,249,95.18072289,3,246,Short_Biased,0.012195122
03-07-2024,Neutral,0x4f93fead39b70a1824f981a54d4e55b278e9f760,-25991.50634,10190.31793,1309,33.15508021,706,603,Long_Biased,1.170812604
03-07-2024,Neutral,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,0.16272,34.91666667,6,16.66666667,3,3,Balanced,1
03-07-2024,Neutral,0x8477e447846c758f5a675856001ea72298fd9cb5,-9125.157325,772.3728871,3810,32.54593176,1706,2104,Short_Biased,0.810836502
03-07-2024,Neutral,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,-14505.50575,7877.326667,39,0,31,8,Long_Biased,3.875
03-07-2024,Neutral,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,62586.1816,2875.217894,1643,20.99817407,1019,624,Long_Biased,1.633012821
27-10-2024,Greed,0x083384f897ee0f19899168e3b1bec365f52a9012,-327505.9001,14810.89182,462,2.597402597,139,323,Short_Biased,0.430340557
27-10-2024,Greed,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,20607.44609,2492.749906,320,53.125,145,175,Short_Biased,0.828571429
27-10-2024,Greed,0x271b280974205ca63b716753467d5a371de622ab,1793.160215,31941.66,5,80,3,2,Long_Biased,1.5
27-10-2024,Greed,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,121880.386,483.5901143,6472,44.37577256,3086,3386,Short_Biased,0.911399882
27-10-2024,Greed,0x2c229d22b100a7beb69122eed721cee9b24011dd,52215.72945,2941.825688,763,47.44429882,305,458,Short_Biased,0.665938865
27-10-2024,Greed,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,36993.37101,2583.170064,156,46.79487179,64,92,Short_Biased,0.695652174
27-10-2024,Greed,0x39cef799f8b69da1995852eea189df24eb5cae3c,34983.38186,4554.800139,144,52.77777778,59,85,Short_Biased,0.694117647
27-10-2024,Greed,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,7612.618288,2786.426545,191,41.36125654,112,79,Long_Biased,1.417721519
27-10-2024,Greed,0x420ab45e0bd8863569a5efbb9c05d91f40624641,16102.56859,6480.62816,125,21.6,18,107,Short_Biased,0.168224299
27-10-2024,Greed,0x430f09841d65beb3f27765503d0f850b8bce7713,160450.5181,6742.719767,43,88.37209302,0,43,Only_Short,0
27-10-2024,Greed,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,69282.42904,494.2368391,3711,33.8183778,1738,1973,Short_Biased,0.880892043
27-10-2024,Greed,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,61076.16781,8444.161189,328,41.15853659,183,145,Long_Biased,1.262068966
27-10-2024,Greed,0x4f93fead39b70a1824f981a54d4e55b278e9f760,111230.498,19645.16683,1703,32.82442748,960,743,Long_Biased,1.292059219
27-10-2024,Greed,0x513b8629fe877bb581bf244e326a047b249c4ff1,0,3261.578879,223,0,223,0,Only_Long,0
27-10-2024,Greed,0x6d6a4b953f202f8df5bed40692e7fd865318264a,101539.274,525.47136,250,100,0,250,Only_Short,0
27-10-2024,Greed,0x72743ae2822edd658c0c50608fd7c5c501b2afbd,327546,16311.13847,202,51.48514851,104,98,Long_Biased,1.06122449
27-10-2024,Greed,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,51737.57942,2305.20043,419,2.863961814,11,408,Short_Biased,0.026960784
27-10-2024,Greed,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,37526.33188,2056.391348,1016,82.08661417,545,471,Long_Biased,1.157112527
27-10-2024,Greed,0x8170715b3b381dffb7062c0298972d4727a0a63b,0,2333.253333,15,0,15,0,Only_Long,0
27-10-2024,Greed,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,11.717676,933.2848148,54,3.703703704,47,7,Long_Biased,6.714285714
27-10-2024,Greed,0x8477e447846c758f5a675856001ea72298fd9cb5,39978.37791,1376.814141,1804,32.42793792,625,1179,Short_Biased,0.530110263
27-10-2024,Greed,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,8695.357326,2936.198591,724,7.596685083,642,82,Long_Biased,7.829268293
27-10-2024,Greed,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,49180.71488,1636.150226,4211,41.86654001,2398,1813,Long_Biased,1.322669608
27-10-2024,Greed,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,67900.24755,1684.20258,283,54.77031802,125,158,Short_Biased,0.791139241
27-10-2024,Greed,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,20925.51322,3387.339158,190,55.26315789,84,106,Short_Biased,0.79245283
27-10-2024,Greed,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,55.01524,1862.93,9,22.22222222,7,2,Long_Biased,3.5
27-10-2024,Greed,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1421755.846,2166.171861,1268,56.70347003,148,1120,Short_Biased,0.132142857
27-10-2024,Greed,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,11671.68,2725.780599,267,15.35580524,49,218,Short_Biased,0.224770642
27-10-2024,Greed,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,684215.0026,2693.283796,9883,56.9260346,3092,6791,Short_Biased,0.455308497
19-02-2025,Fear,0x083384f897ee0f19899168e3b1bec365f52a9012,1927735.72,16345.24194,3356,40.55423123,1572,1784,Short_Biased,0.881165919
19-02-2025,Fear,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,17098.72706,1693.351684,3533,43.50410416,1528,2005,Short_Biased,0.762094763
19-02-2025,Fear,0x271b280974205ca63b716753467d5a371de622ab,29970.92822,10836.90097,1136,43.04577465,506,630,Short_Biased,0.803174603
19-02-2025,Fear,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,10435.09567,533.2378128,6794,43.2734766,3606,3188,Long_Biased,1.131116688
19-02-2025,Fear,0x2c229d22b100a7beb69122eed721cee9b24011dd,116412.2546,3205.000631,2471,53.3791987,872,1599,Short_Biased,0.545340838
19-02-2025,Fear,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-59349.67711,1648.557536,349,26.36103152,66,283,Short_Biased,0.233215548
19-02-2025,Fear,0x39cef799f8b69da1995852eea189df24eb5cae3c,-20526.46253,4800.430827,3445,31.93033382,1589,1856,Short_Biased,0.856142241
19-02-2025,Fear,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,45883.62896,4338.219787,141,56.02836879,58,83,Short_Biased,0.698795181
19-02-2025,Fear,0x420ab45e0bd8863569a5efbb9c05d91f40624641,183403.0241,4563.756163,258,24.41860465,83,175,Short_Biased,0.474285714
19-02-2025,Fear,0x430f09841d65beb3f27765503d0f850b8bce7713,110527.9059,2807.662399,671,48.28614009,211,460,Short_Biased,0.458695652
19-02-2025,Fear,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,32683.21409,541.9522813,4629,36.5521711,2270,2359,Short_Biased,0.962272149
19-02-2025,Fear,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,613327.8272,8998.349073,3806,49.52706253,1797,2009,Short_Biased,0.894474863
19-02-2025,Fear,0x4f93fead39b70a1824f981a54d4e55b278e9f760,223968.3709,20468.30364,3737,39.17580947,2107,1630,Long_Biased,1.292638037
19-02-2025,Fear,0x513b8629fe877bb581bf244e326a047b249c4ff1,403501.6482,28304.44506,5777,41.56136403,2646,3131,Short_Biased,0.845097413
19-02-2025,Fear,0x6d6a4b953f202f8df5bed40692e7fd865318264a,6979.340871,891.0710664,572,26.92307692,346,226,Long_Biased,1.530973451
19-02-2025,Fear,0x72743ae2822edd658c0c50608fd7c5c501b2afbd,98269.19507,8098.078723,932,43.99141631,299,633,Short_Biased,0.47235387
19-02-2025,Fear,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,341945.4347,2123.400266,939,39.61661342,574,365,Long_Biased,1.57260274
19-02-2025,Fear,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,136208.0439,2330.303308,4885,79.8567042,2321,2564,Short_Biased,0.905226209
19-02-2025,Fear,0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14781.44305,3643.361287,1554,45.10939511,687,867,Short_Biased,0.792387543
19-02-2025,Fear,0x8170715b3b381dffb7062c0298972d4727a0a63b,196303.7928,2249.731113,3056,28.76308901,979,2077,Short_Biased,0.471352913
19-02-2025,Fear,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,64510.16996,6453.556398,1802,34.01775805,1071,731,Long_Biased,1.465116279
19-02-2025,Fear,0x8477e447846c758f5a675856001ea72298fd9cb5,46257.35819,658.3625777,5602,30.73902178,2453,3149,Short_Biased,0.778977453
19-02-2025,Fear,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,100502.4208,3430.149135,2080,39.03846154,1218,862,Long_Biased,1.412993039
19-02-2025,Fear,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,40314.80801,1157.879354,9274,32.00345051,6130,3144,Long_Biased,1.949745547
19-02-2025,Fear,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,19451.74248,820.6771579,95,88.42105263,0,95,Only_Short,0
19-02-2025,Fear,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,8751.751449,3072.957692,182,26.92307692,133,49,Long_Biased,2.714285714
19-02-2025,Fear,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21703.81651,8441.060743,525,32.38095238,297,228,Long_Biased,1.302631579
19-02-2025,Fear,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,553818.0005,1818.587241,7380,39.10569106,3477,3903,Short_Biased,0.89085319
19-02-2025,Fear,0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.50082,22504.55583,4838,43.86109963,2368,2470,Short_Biased,0.958704453
19-02-2025,Fear,0xbaaaf6571ab7d571043ff1e313a9609a10637864,940157.2127,3210.775186,21190,46.75318546,11195,9995,Long_Biased,1.12006003
19-02-2025,Fear,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,325441.9772,8103.972913,2211,37.22297603,1054,1157,Short_Biased,0.910976664
19-02-2025,Fear,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,126967.9762,1554.837334,26651,38.48636074,12568,14083,Short_Biased,0.892423489
